Kategori,Pesan,cleaned_text,label
Spam,"(Bank Granit menerbitkan Strong-Buy) PILIHAN EKSPLOSIF UNTUK ANGGOTA KAMI ***** HINGGA LEBIH DARI 300% **** Nasdaq Symbol CDGT Itu adalah $ 5,00 per ..",bank granit menerbitkan strong buy pilihan eksplosif untuk anggota kami hingga lebih dari nasdaq symbol cdgt itu adalah per,1
ham,"(Saya harus menambahkan bahwa saya tidak terlalu peduli dan jika Anda tidak bisa, saya setidaknya bisa membuat pria ini bercinta tapi hei, uang Anda jika Anda menginginkannya)",saya harus menambahkan bahwa saya tidak terlalu peduli dan jika anda tidak bisa saya setidaknya bisa membuat pria ini bercinta tapi hei uang anda jika anda menginginkannya,0
ham,"(Yang mengatakan, bisakah Anda mengirim sms kepadanya sekali lagi?)",yang mengatakan bisakah anda mengirim sms kepadanya sekali lagi,0
Spam,* GRATIS * POLIFONIK RINGTONE Teks SUPER ke 87131 untuk mendapatkan Anda FREE POLY TONE minggu ini sekarang! 16 SN PoBox202 NR31 7ZS berlangganan 450pw,gratis polifonik ringtone teks super ke untuk mendapatkan anda free poly tone minggu ini sekarang sn pobox nr zs berlangganan pw,1
Spam,**PESAN GRATIS**Terima kasih telah menggunakan Layanan Berlangganan Lelang. 18 . 150p/MSGRCVD 2 Lewati txt Lelang OUT. 2 Berhenti berlangganan txt STOP CustomerCare 08718726270,pesan gratis terima kasih telah menggunakan layanan berlangganan lelang p msgrcvd lewati txt lelang out berhenti berlangganan txt stop customercare,1
Spam,<Diteruskan dari 21870000>Hai - ini adalah peringatan SMS Pesan Kotak Pesan Anda. Anda memiliki 4 pesan. Anda memiliki 21 pertandingan. Silakan hubungi kembali 09056242159 untuk mengambil pesan dan kecocokan Anda,diteruskan dari hai ini adalah peringatan sms pesan kotak pesan anda anda memiliki pesan anda memiliki pertandingan silakan hubungi kembali untuk mengambil pesan dan kecocokan anda,1
Spam,<Diteruskan dari 21870000>Hai - ini adalah peringatan SMS Pesan Kotak Pesan Anda. Anda memiliki 40 pertandingan. Silakan hubungi kembali 09056242159 untuk mengambil pesan Anda dan mencocokkan cc100p / min,diteruskan dari hai ini adalah peringatan sms pesan kotak pesan anda anda memiliki pertandingan silakan hubungi kembali untuk mengambil pesan anda dan mencocokkan cc p min,1
Spam,<Diteruskan dari 448712404000>Silakan HUBUNGI 08712404000 segera karena ada pesan mendesak yang menunggu Anda.,diteruskan dari silakan hubungi segera karena ada pesan mendesak yang menunggu anda,1
Spam,"<Diteruskan dari 88877>GRATIS masuk ke comp mingguan Â £ 250 kami, cukup kirim kata ENTER ke 88877 SEKARANG. 18 T & C www.textcomp.com",diteruskan dari gratis masuk ke comp mingguan kami cukup kirim kata enter ke sekarang t c,1
Spam,07732584351 - Rodger Burns - MSG = Kami mencoba memanggil Anda kembali membalas sms kami untuk nokia ponsel + camcorder gratis. Silakan hubungi sekarang 08000930705 untuk pengiriman besok,rodger burns msg kami mencoba memanggil anda kembali membalas sms kami untuk nokia ponsel camcorder gratis silakan hubungi sekarang untuk pengiriman besok,1
Spam,08714712388 antara jam 10 pagi - 7 malam Biaya 10p,antara jam pagi malam biaya p,1
Spam,09066362231 MENDESAK! Ponsel Anda No 07xxxxxxxxx memenangkan hadiah pemanggil bonus Â £ 2.000 pada 02/06/03! ini adalah upaya ke-2 untuk menghubungi ANDA! hubungi 09066362231 secepatnya!,mendesak ponsel anda no xxxxxxxxx memenangkan hadiah pemanggil bonus pada ini adalah upaya ke untuk menghubungi anda hubungi secepatnya,1
Spam,"0A $ NETWORKS memungkinkan perusahaan untuk menagih SMS, sehingga mereka bertanggung jawab atas ""pemasok"" mereka, sama seperti toko harus memberikan jaminan atas apa yang mereka jual. B. G.",a networks memungkinkan perusahaan untuk menagih sms sehingga mereka bertanggung jawab atas pemasok mereka sama seperti toko harus memberikan jaminan atas apa yang mereka jual b g,1
ham,"1) Pergi untuk menulis pesan 2) Pasang mode Kamus 3) Tutupi layar dengan tangan, 4) Tekan < #> . 5) Lepaskan tangan Anda dengan lembut .. Ini menarik..:)",pergi untuk menulis pesan pasang mode kamus tutupi layar dengan tangan tekan lepaskan tangan anda dengan lembut ini menarik,0
ham,"1.20 biaya panggilan itu. Yang saya kira tidak buruk. Nona ya, butuh ya, mau ya, cinta ya",biaya panggilan itu yang saya kira tidak buruk nona ya butuh ya mau ya cinta ya,0
ham,10 menit kemudian k...,menit kemudian k,0
Spam,100 layanan kencan cal; l 09064012103 kotak334sk38ch,layanan kencan cal l kotak sk ch,1
Spam,"1000 menggoda SEKARANG! Txt GIRL atau BLOKE & NAMA &; USIA Anda, misalnya GIRL ZOE 18 hingga 8007 untuk bergabung dan mengobrol!",menggoda sekarang txt girl atau bloke nama usia anda misalnya girl zoe hingga untuk bergabung dan mengobrol,1
Spam,1000 anak perempuan banyak lokal 2 u yang r perawan 2 ini &; r siap 2 4fil setiap kebutuhan seksual Anda. Bisakah u 4fil mereka? ketik CUTE ke 69911 (Â £ 1.50p. m),anak perempuan banyak lokal u yang r perawan ini r siap fil setiap kebutuhan seksual anda bisakah u fil mereka ketik cute ke p m,1
Spam,18 hari untuk Euro2004 kickoff! Anda akan terus mendapat informasi tentang semua berita dan hasil terbaru setiap hari. Berhenti berlangganan kirim GET EURO STOP ke 83222.,hari untuk euro kickoff anda akan terus mendapat informasi tentang semua berita dan hasil terbaru setiap hari berhenti berlangganan kirim get euro stop ke,1
ham,1 selesai rapat hubungi saya.,selesai rapat hubungi saya,0
Spam,1st wk GRATIS! Gr8 nada str8 2 u masing-masing wk. Txt NOKIA ON ke 8007 untuk nada Nokia Klasik atau HIT ON ke 8007 untuk Polys. Nokia/150p Poli/200p 16+,st wk gratis gr nada str u masing masing wk txt nokia on ke untuk nada nokia klasik atau hit on ke untuk polys nokia p poli p,1
Spam,2/2 146TF150P,tf p,1
Spam,"22 hari untuk memulai! Untuk Euro2004 Anda akan tetap up to date dengan berita terbaru dan hasil setiap hari. Untuk dihapus, kirim GET TXT STOP ke 83222",hari untuk memulai untuk euro anda akan tetap up to date dengan berita terbaru dan hasil setiap hari untuk dihapus kirim get txt stop ke,1
Spam,25p 4 alfie Moon's Children in need song on your mob. Beri tahu m8s Anda. Txt Tone amal ke 8007 untuk Nokia atau Poly amal untuk polys: zed 08701417012 keuntungan 2 amal.,p alfie moon s children in need song on your mob beri tahu m s anda txt tone amal ke untuk nokia atau poly amal untuk polys zed keuntungan amal,1
ham,26 JULI,juli,0
Spam,2p per menit untuk menelepon Jerman 08448350055 dari saluran BT Anda. Hanya 2p per menit. Periksa PlanetTalkInstant.com untuk info & T &; C. Berhenti teks untuk menyisih,p per menit untuk menelepon jerman dari saluran bt anda hanya p per menit periksa planettalkinstant com untuk info t c berhenti teks untuk menyisih,1
Spam,"3 TEKS TAROT GRATIS! Cari tahu tentang kehidupan cinta Anda sekarang! COBA 3 GRATIS! SMS CHANCE ke 85555 16 saja! Setelah 3 Gratis, Msgs Â £ 1,50 masing-masing",teks tarot gratis cari tahu tentang kehidupan cinta anda sekarang coba gratis sms chance ke saja setelah gratis msgs masing masing,1
Spam,3. Anda telah menerima konten seluler Anda. Suka,anda telah menerima konten seluler anda suka,1
ham,Jam 4 di milikku. Hanya untuk bash keluar rencana datar.,jam di milikku hanya untuk bash keluar rencana datar,0
Spam,"44 7732584351, Apakah Anda ingin ponsel warna Nokia 3510i Baru DeliveredTomorrow? Dengan 300 menit gratis ke ponsel apa pun + 100 teks gratis + Balasan Camcorder Gratis atau hubungi 08000930705.",apakah anda ingin ponsel warna nokia i baru deliveredtomorrow dengan menit gratis ke ponsel apa pun teks gratis balasan camcorder gratis atau hubungi,1
Spam,"449050000301 Anda telah memenangkan harga Â £ 2.000! Untuk mengklaim, hubungi 09050000301.",anda telah memenangkan harga untuk mengklaim hubungi,1
Spam,4mths setengah harga sewa garis oranye & ponsel kamera terbaru 4 GRATIS. Apakah ponsel Anda 11mths? Hubungi MobilesDirect gratis di 08000938767 untuk memperbarui sekarang! atau2stoptxt,mths setengah harga sewa garis oranye ponsel kamera terbaru gratis apakah ponsel anda mths hubungi mobilesdirect gratis di untuk memperbarui sekarang atau stoptxt,1
Spam,4mths setengah harga sewa garis oranye & ponsel kamera terbaru 4 GRATIS. Apakah ponsel Anda 11mths +? Hubungi MobilesDirect gratis di 08000938767 untuk memperbarui sekarang! atau2stoptxt S&K,mths setengah harga sewa garis oranye ponsel kamera terbaru gratis apakah ponsel anda mths hubungi mobilesdirect gratis di untuk memperbarui sekarang atau stoptxt s k,1
Spam,"5 Nada Polifonik Top Gratis memanggil 087018728737, Tarif Nasional. Dapatkan lagu toppoly yang dikirim setiap minggu, cukup ketik SUBPOLY ke 81618, Â £ 3 per tiang. UnSub 08718727870.",nada polifonik top gratis memanggil tarif nasional dapatkan lagu toppoly yang dikirim setiap minggu cukup ketik subpoly ke per tiang unsub,1
Spam,500 teks bebas msgs. Cukup SMS ok ke 80488 dan kami akan mengkredit akun Anda,teks bebas msgs cukup sms ok ke dan kami akan mengkredit akun anda,1
Spam,"500 Ponsel Baru dari tahun 2004, HARUS PERGI! Txt: NOKIA ke No: 89545 & kumpulkan milikmu hari ini! Dari HANYA â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",ponsel baru dari tahun harus pergi txt nokia ke no kumpulkan milikmu hari ini dari hanya optout gbp mtmsg,1
Spam,"500 Ponsel Baru dari tahun 2004, HARUS PERGI! Txt: NOKIA ke No: 89545 & kumpulkan milikmu hari ini! Dari HANYA â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 txtauction",ponsel baru dari tahun harus pergi txt nokia ke no kumpulkan milikmu hari ini dari hanya optout gbp mtmsg txtauction,1
Spam,5p 4 alfie Moon's Children in need song on your mob. Beri tahu m8s Anda. Txt Tone amal ke 8007 untuk Nokia atau Poly amal untuk polys: zed 08701417012 keuntungan 2 amal.,p alfie moon s children in need song on your mob beri tahu m s anda txt tone amal ke untuk nokia atau poly amal untuk polys zed keuntungan amal,1
ham,7 di Esplanade.. Apakah Ã 1/4 keberatan memberi saya tumpangan karena saya tidak punya mobil hari ini ..,di esplanade apakah keberatan memberi saya tumpangan karena saya tidak punya mobil hari ini,0
ham,"7 keajaiban di My WORLD, 7th Anda 6th gaya Anda, 5th senyum Anda, 4th kepribadian Anda, 3rd sifat Anda, 2nd SMS Anda dan 1st ""persahabatan indah Anda"" ... Selamat pagi sayang",keajaiban di my world th anda th gaya anda th senyum anda th kepribadian anda rd sifat anda nd sms anda dan st persahabatan indah anda selamat pagi sayang,0
Spam,74355 XMAS iscoming & Anda diberikan baik Â £ 500 CD voucher hadiah & masuk gratis 2 r Â £ 100 mingguan menarik txt MUSIK ke 87066 TnC,xmas iscoming anda diberikan baik cd voucher hadiah masuk gratis r mingguan menarik txt musik ke tnc,1
ham,"8 Paling lambat, G masih ada jika Anda dapat mengumpulkan amunisi dan ingin mencoba AK baru",paling lambat g masih ada jika anda dapat mengumpulkan amunisi dan ingin mencoba ak baru,0
Spam,8007 25p 4 Lagu Anak-anak Alfie Moon yang Membutuhkan di gerombolan Anda. Beri tahu m8s Anda. Txt TONE CHARITY ke 8007 untuk nokias atau POLY CHARITY untuk polys :zed 08701417012 profit 2 charity,p lagu anak anak alfie moon yang membutuhkan di gerombolan anda beri tahu m s anda txt tone charity ke untuk nokias atau poly charity untuk polys zed profit charity,1
Spam,8007 GRATIS untuk minggu pertama! No1 Nokia nada 4 gerombolan Anda setiap minggu hanya txt NOKIA ke 8007 Dapatkan txting dan beritahu teman Anda www.getzed.co.uk POBox 36504 W4 5WQ norma 150p / nada 16+,gratis untuk minggu pertama no nokia nada gerombolan anda setiap minggu hanya txt nokia ke dapatkan txting dan beritahu teman anda pobox w wq norma p nada,1
Spam,83039 62735 = Â £ 450 UK Break AccommodationSyarat & ketentuan voucher berlaku. 2 klaim Anda harus memberikan nomor klaim Anda yaitu 15541,uk break accommodationsyarat ketentuan voucher berlaku klaim anda harus memberikan nomor klaim anda yaitu,1
Spam,85233 GRATIS>Nada dering! membalas NYATA,gratis nada dering membalas nyata,1
Spam,87077: Mulai musim baru dengan 2wks GRATIS tujuan & berita ke ponsel Anda! Txt nama klub Anda ke 87077 misalnya VILLA ke 87077,mulai musim baru dengan wks gratis tujuan berita ke ponsel anda txt nama klub anda ke misalnya villa ke,1
Spam,88066 DARI 88066 KEHILANGAN BANTUAN 3POUND,dari kehilangan bantuan pound,1
